year,subYear,date,time,targetTime,minutesFromTarget,tempF,dewPointF,humidityPct,heatIndexF,runnerStressScore,wind,windSpeedMph,windGustMph,pressureIn,precipIn,condition,sourceUrl
1993,,1993-07-04,7:00 AM,7:30 AM,30,72.0,70.0,93.0,72.0,174.0,SW,6.0,0.0,29.15,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1993-07-04
1994,,1994-07-04,7:00 AM,7:30 AM,30,71.0,70.0,97.0,71.0,176.0,CALM,0.0,0.0,29.17,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1994-07-04
1995,,1995-07-04,7:00 AM,7:30 AM,30,71.0,65.0,81.0,71.0,168.5,CALM,0.0,0.0,29.2,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1995-07-04
1996,,1996-07-04,7:47 AM,7:30 AM,17,63.0,57.0,82.0,63.0,148.5,CALM,0.0,0.0,29.01,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1996-07-04
1997,,1997-07-04,7:45 AM,7:30 AM,15,75.0,70.0,83.0,75.0,180.0,CALM,0.0,0.0,29.01,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1997-07-04
1998,,1998-07-04,7:47 AM,7:30 AM,17,72.0,68.0,88.0,72.0,174.0,CALM,0.0,0.0,29.17,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1998-07-04
1999,,1999-07-04,7:53 AM,7:30 AM,23,71.0,69.0,93.0,71.0,174.5,CALM,0.0,0.0,29.34,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1999-07-04
2000,,2000-07-04,7:53 AM,7:30 AM,23,73.0,67.0,81.0,73.0,173.5,CALM,0.0,0.0,29.2,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2000-07-04
2001,,2001-07-04,7:53 AM,7:30 AM,23,71.0,70.0,96.0,71.0,176.0,CALM,0.0,0.0,29.25,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2001-07-04
2002,,2002-07-04,7:53 AM,7:30 AM,23,69.0,68.0,96.0,69.0,171.0,CALM,0.0,0.0,29.13,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2002-07-04
2003,,2003-07-04,7:53 AM,7:30 AM,23,73.0,70.0,90.0,73.0,178.0,CALM,0.0,0.0,29.13,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2003-07-04
2004,,2004-07-04,7:30 AM,7:30 AM,0,72.0,70.0,94.0,72.0,177.0,CALM,0.0,0.0,29.11,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2004-07-04
2005,,2005-07-04,7:53 AM,7:30 AM,23,76.0,70.0,82.0,76.0,178.5,ENE,5.0,0.0,29.16,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2005-07-04
2006,,2006-07-04,7:53 AM,7:30 AM,23,73.0,68.0,84.0,73.0,175.0,CALM,0.0,0.0,29.21,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2006-07-04
2007,,2007-07-04,7:53 AM,7:30 AM,23,68.0,63.0,84.0,68.0,162.5,CALM,0.0,0.0,29.25,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2007-07-04
2008,,2008-07-04,7:53 AM,7:30 AM,23,72.0,68.0,87.0,72.0,170.5,SSW,7.0,0.0,29.17,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2008-07-04
2009,,2009-07-04,7:53 AM,7:30 AM,23,64.0,59.0,84.0,64.0,152.5,CALM,0.0,0.0,29.16,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2009-07-04
2010,,2010-07-04,7:53 AM,7:30 AM,23,66.0,62.0,87.0,66.0,159.0,CALM,0.0,0.0,29.24,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2010-07-04
2011,,2011-07-04,7:53 AM,7:30 AM,23,73.0,68.0,84.0,73.0,175.0,CALM,0.0,0.0,29.09,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2011-07-04
2012,,2012-07-04,7:53 AM,7:30 AM,23,72.0,67.0,84.0,72.0,169.5,SW,6.0,0.0,29.15,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2012-07-04
2013,,2013-07-04,7:53 AM,7:30 AM,23,71.0,69.0,93.0,71.0,171.5,E,6.0,0.0,29.21,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2013-07-04
